,lat,lng,views,dbscan
0,61.477005,-149.162751,472,0
1,61.477041,-149.162731,478,0
2,61.477005,-149.162751,438,0
3,61.477005,-149.162751,391,0
4,50.015399,-96.867474,574,1
5,50.01533,-96.867302,390,1
6,44.477939,-106.771842,561,2
7,60.847697,-148.9909,413,3
8,60.847872,-148.990684,555,3
9,65.320366,-147.461062,638,4
10,63.762734,-145.787318,2195,5
11,64.847751,-147.407984,2530,4
12,63.371852,-148.818839,1400,6
13,63.371852,-148.818839,897,6
14,63.371852,-148.818839,1933,6
15,63.371852,-148.818839,776,6
16,63.371852,-148.818839,655,6
17,63.371852,-148.818839,1137,6
18,63.371852,-148.818839,1373,6
19,63.371852,-148.818839,628,6
20,63.371852,-148.818839,671,6
21,63.371852,-148.818839,1374,6
22,61.507119,-149.004659,1351,0
23,61.507119,-149.004659,935,0
24,61.507133,-149.004564,982,0
25,61.509186,-148.995681,1038,0
26,61.507119,-149.004659,1004,0
27,61.506816,-149.034103,1068,0
28,61.509036,-148.994487,639,0
29,61.508647,-148.995439,1157,0
30,64.769599,-147.224178,2122,4
31,64.769599,-147.224178,2463,4
32,64.769599,-147.224178,2096,4
33,61.508833,-148.994462,671,0
34,63.676898,-145.884425,1922,5
35,63.718489,-145.862206,827,5
36,63.762734,-145.787318,2107,5
37,63.762734,-145.787318,1785,5
38,63.762734,-145.787318,2128,5
39,63.762734,-145.787318,831,5
40,63.762734,-145.787318,1242,5
41,64.911658,-147.828769,2246,4
42,64.911658,-147.828769,2003,4
43,64.911658,-147.828769,2557,4
44,64.911658,-147.828769,1635,4
45,64.847751,-147.407984,1498,4
46,61.509036,-148.994487,9162,0
47,61.505283,-149.018028,933,0
48,61.505244,-149.01795,1621,0
49,61.505286,-149.018075,841,0
50,47.460007,-88.159747,1164,7
51,47.460007,-88.159747,1567,7
52,62.465677,-114.34775,2208,8
53,62.465677,-114.34775,1993,8
54,62.465677,-114.34775,1606,8
55,44.90472,-107.013959,990,9
56,44.90472,-107.013959,929,9
57,46.997438,-111.096839,858,-1
58,46.997438,-111.096839,1271,-1
59,47.225795,-109.193254,2314,10
60,47.225795,-109.193254,1444,10
61,47.225795,-109.193254,605,10
62,47.225795,-109.193254,1241,10
63,44.449513,-68.015031,1564,11
64,44.449522,-68.014987,262,11
65,63.851058,-149.004303,3596,12
66,47.225795,-109.193254,1946,10
67,63.514316,-150.904017,831,13
68,63.514266,-150.90395,1131,13
69,63.514266,-150.90395,984,13
70,47.003262,-90.93747,42,14
71,47.00326,-90.937488,34,14
72,47.003242,-90.937512,33,14
73,47.003215,-90.937583,31,14
74,47.003183,-90.937616,30,14
75,47.225795,-109.193254,708,10
76,47.003188,-90.937488,33,14
77,47.00319,-90.937498,33,14
78,47.003202,-90.93757,34,14
79,47.003212,-90.937603,35,14
80,47.003252,-90.937585,35,14
81,33.898311,-86.346009,378,-1
82,44.845602,-88.736645,1335,-1
83,44.845683,-88.736578,6772,-1
84,44.481672,-106.767325,784,2
85,44.481672,-106.767325,896,2
86,44.481672,-106.767325,567,2
87,44.481672,-106.767325,649,2
88,58.76588,-94.164956,1321,-1
89,44.426669,-76.848313,1616,15
90,44.426669,-76.848313,1755,15
91,45.424118,-75.69903,249,16
92,45.424118,-75.69903,263,16
93,44.627679,-107.084126,873,9
94,44.617287,-107.075908,1786,9
95,44.62898,-107.137212,512,9
96,44.62898,-107.137212,1585,9
97,44.62898,-107.137212,2356,9
98,38.892753,-77.022786,148,17
99,38.892753,-77.022786,145,17
100,38.892753,-77.022786,115,17
101,38.892753,-77.022786,93,17
102,38.892753,-77.022786,293,17
103,38.892753,-77.022786,44,17
104,38.892753,-77.022786,285,17
105,38.892753,-77.022786,98,17
106,38.892753,-77.022786,66,17
107,38.892753,-77.022786,56,17
108,38.892753,-77.022786,57,17
109,38.892753,-77.022786,57,17
110,38.892753,-77.022786,57,17
111,38.892753,-77.022786,43,17
112,38.892753,-77.022786,41,17
113,44.825393,-107.060973,1514,9
114,44.822724,-107.053474,1033,9
115,44.481774,-106.766992,573,2
116,44.481774,-106.766992,1378,2
117,44.481774,-106.766992,770,2
118,62.461777,-114.3481,2407,8
119,62.461777,-114.3481,2326,8
120,62.461777,-114.3481,2237,8
121,62.461777,-114.3481,1961,8
122,62.310011,-150.105523,1614,18
123,62.310319,-150.105767,572,18
124,61.711322,-148.849795,556,0
125,61.711202,-148.851245,573,0
126,61.711605,-148.850975,510,0
127,61.711202,-148.851245,1327,0
128,61.711208,-148.913295,598,0
129,61.499547,-149.047678,752,0
130,61.499438,-149.047867,1004,0
131,61.476502,-149.163112,413,0
132,61.476502,-149.163112,1114,0
133,61.476511,-149.16312,1221,0
134,61.476502,-149.163112,407,0
135,67.771609,-115.249328,1472,19
136,45.521292,-107.726773,1016,20
137,45.521292,-107.726773,1478,20
138,45.521292,-107.726773,1875,20
139,61.610102,-149.080506,976,0
140,61.610102,-149.080506,1784,0
141,61.610102,-149.080506,1660,0
142,61.608477,-149.073681,1264,0
143,61.608477,-149.073681,740,0
144,61.608477,-149.073681,1510,0
145,61.608477,-149.073681,818,0
146,61.608497,-149.073612,1477,0
147,61.608477,-149.073681,1044,0
148,60.845144,-148.988287,781,3
149,44.427312,-76.846662,1622,15
150,44.988902,-107.344279,729,9
151,44.992544,-107.365694,897,9
152,44.988902,-107.344279,1636,9
153,44.988902,-107.344279,1472,9
154,63.723738,-68.4484,2128,21
155,49.195502,-123.179992,43,22
156,47.379086,-76.977789,1330,-1
157,60.138844,-146.516503,181,-1
158,62.465677,-114.34775,2446,8
159,62.465677,-114.34775,3368,8
160,44.838261,-88.429637,541,-1
161,44.838352,-88.42947,2280,-1
162,62.465677,-114.34775,3629,8
163,62.465677,-114.34775,3374,8
164,62.465677,-114.34775,3183,8
165,46.332908,-109.43946,1162,23
166,46.332908,-109.43946,816,23
167,46.332516,-109.438558,875,23
168,60.849133,-148.995114,568,3
169,45.310157,-88.194551,6581,-1
170,46.332516,-109.438558,1063,23
171,44.191315,-107.004625,991,-1
172,67.315775,-150.158128,189,24
173,67.316023,-150.159609,154,24
174,64.913372,-147.935353,68,4
175,64.913622,-147.934798,98,4
176,64.914163,-147.934764,149,4
177,64.913877,-147.935114,79,4
178,64.913602,-147.935312,79,4
179,64.914088,-147.935103,156,4
180,44.998386,-106.962118,1538,9
181,44.998386,-106.962118,1215,9
182,44.998386,-106.962118,2378,9
183,64.913744,-147.935187,83,4
184,64.866713,-147.742442,183,4
185,64.866144,-147.740184,148,4
186,64.866086,-147.738095,106,4
187,64.86508,-147.735037,92,4
188,64.862863,-147.738014,93,4
189,64.852722,-147.712589,90,4
190,64.892911,-147.944437,86,4
191,46.96077,-94.610577,232,25
192,46.96077,-94.610577,605,25
193,46.96077,-94.610577,178,25
194,46.96077,-94.610577,171,25
195,46.96077,-94.610577,221,25
196,46.96077,-94.610577,169,25
197,46.962359,-94.608861,337,25
198,46.962359,-94.60885,786,25
199,46.962359,-94.60885,319,25
200,46.962359,-94.608861,175,25
201,53.545037,-113.494648,448,26
202,51.132609,-114.693993,225,-1
203,43.12793,-70.940012,680,-1
204,52.632698,-94.062795,1486,-1
205,52.632997,-94.065349,2426,-1
206,32.776108,-117.154053,2632,-1
207,47.920336,-91.974584,2205,27
208,48.067422,-90.544492,1858,-1
209,62.461844,-114.348525,7508,8
210,62.456585,-114.378823,1304,8
211,58.737336,-93.818284,778,28
212,64.660563,-148.971989,5947,-1
213,65.046705,-147.449807,235,4
214,44.350512,-106.528362,4369,2
215,44.350512,-106.528362,1450,2
216,50.761652,-111.523331,188,29
217,50.761652,-111.523331,69,29
218,61.338086,-149.511975,149,30
219,61.338086,-149.511975,147,30
220,61.338086,-149.511975,165,30
221,61.338086,-149.511975,125,30
222,44.317649,-78.369362,1935,-1
223,41.472247,-72.845873,242,-1
224,44.791079,-107.394747,950,9
225,44.821811,-107.321738,2905,9
226,44.821811,-107.321738,2772,9
227,44.821811,-107.321738,1183,9
228,60.680408,-135.033206,1799,31
229,44.827158,-107.330964,1447,9
230,44.900199,-107.031877,1017,9
231,44.901628,-107.031952,932,9
232,51.080727,-96.861956,1265,32
233,45.7275,-68.820834,1475,33
234,46.771849,-84.955794,12158,34
235,46.771717,-84.955451,1612,34
236,46.771717,-84.955451,1799,34
237,51.187722,-96.65382,903,32
238,51.187722,-96.65382,1074,32
239,51.18773,-96.654112,1283,32
240,51.18773,-96.654112,5037,32
241,51.18773,-96.654112,1061,32
242,51.187661,-96.653837,1259,32
243,51.187661,-96.653837,1121,32
244,51.187563,-96.653884,973,32
245,51.187677,-96.653806,1162,32
246,51.187619,-96.653623,1240,32
247,51.187627,-96.653662,1556,32
248,51.187619,-96.653692,813,32
249,51.187974,-96.653684,837,32
250,51.187738,-96.653703,778,32
251,51.187816,-96.653634,959,32
252,51.111936,-96.889473,1613,32
253,51.111927,-96.889373,2461,32
254,51.204907,-96.614016,5015,32
255,60.767922,-135.10407,1191,31
256,51.71598,-116.506009,1885,-1
257,49.071033,-106.529499,1702,35
258,49.070295,-106.5304,2261,35
259,49.070295,-106.5304,2394,35
260,49.070295,-106.5304,3109,35
261,49.070295,-106.5304,2327,35
262,48.332438,-70.819458,509,36
263,49.073985,-106.534713,1540,35
264,49.073275,-106.534702,975,35
265,49.073359,-106.534466,1511,35
266,49.073359,-106.534466,2395,35
267,49.073359,-106.534466,2876,35
268,49.073359,-106.534466,3676,35
269,49.073359,-106.534466,2230,35
270,49.073359,-106.534466,1862,35
271,49.073001,-106.534391,2329,35
272,49.073001,-106.534391,2203,35
273,49.312827,-123.139743,5056,22
274,49.312841,-123.139743,6297,22
275,52.463095,-115.02722,163,-1
276,50.761652,-111.523331,40,29
277,50.233522,-119.44302,369,37
278,50.233522,-119.44302,236,37
279,50.233522,-119.44302,112,37
280,50.233522,-119.44302,172,37
281,51.486033,-78.752617,359,38
282,51.483039,-78.73912,384,38
283,49.950297,-97.276303,479,1
284,49.950297,-97.276303,610,1
285,49.950297,-97.276303,576,1
286,49.950297,-97.276303,14519,1
287,51.488651,-78.741223,295,38
288,51.488651,-78.741223,296,38
289,51.488651,-78.741223,412,38
290,51.488651,-78.741223,279,38
291,51.488651,-78.741223,412,38
292,49.950297,-97.276303,692,1
293,43.836848,-69.506099,41018,39
294,60.905833,-135.173612,22,31
295,60.90588,-135.173492,27,31
296,60.905847,-135.17362,34,31
297,60.660937,-135.028474,22970,31
298,60.660963,-135.028474,82466,31
299,62.086955,-163.353295,96,40
300,62.086955,-163.353295,169,40
301,43.639444,-79.5825,187,41
302,64.839451,-147.7069,5042,4
303,49.930905,-100.055247,293,42
304,51.489025,-78.741652,504,38
305,51.489025,-78.741652,459,38
306,47.398611,-121.380278,1607,-1
307,47.398611,-121.380278,975,-1
308,46.022681,-110.65303,1407,-1
309,45.423355,-75.699292,1365,16
310,45.423355,-75.699292,1400,16
311,45.972249,-81.243531,1162,-1
312,47.510452,-121.841498,159,43
313,47.510452,-121.841495,108,43
314,47.510541,-121.84122,113,43
315,47.51053,-121.841178,114,43
316,47.510533,-121.841178,81,43
317,52.938016,-118.845487,2708,-1
318,52.938111,-118.845464,2118,-1
319,44.36428,-98.221,4419,-1
320,43.234927,-77.534433,886,44
321,44.07051,-103.216903,174,45
322,44.967948,-106.838693,1947,9
323,53.035286,-119.22822,2578,-1
324,44.07051,-103.216903,182,45
325,44.967948,-106.838693,2547,9
326,44.07051,-103.216903,229,45
327,44.07051,-103.216903,205,45
328,44.967948,-106.838693,2011,9
329,44.07051,-103.216903,230,45
330,48.093722,-116.782492,16,46
331,48.093727,-116.782464,20,46
332,44.841903,-106.830496,1505,9
333,48.093722,-116.782492,108,46
334,48.093722,-116.782492,44,46
335,44.07051,-103.216903,306,45
336,44.841903,-106.830496,1684,9
337,47.275885,-88.528778,524,7
338,48.093722,-116.782492,161,46
339,48.093722,-116.782492,173,46
340,48.093722,-116.782492,111,46
341,48.093722,-116.782492,175,46
342,48.093722,-116.782492,131,46
343,48.093722,-116.782492,79,46
344,48.093722,-116.782492,24,46
345,47.275885,-88.528778,203,7
346,51.48477,-78.735097,472,38
347,51.48477,-78.735097,381,38
348,51.48477,-78.735097,401,38
349,51.48477,-78.735097,391,38
350,51.484843,-78.735623,344,38
351,51.48477,-78.735097,312,38
352,50.724489,-127.49098,1056,-1
353,51.488979,-78.741374,302,38
354,51.488979,-78.741374,334,38
355,51.488979,-78.741374,327,38
356,51.488979,-78.741374,322,38
357,47.275885,-88.528778,243,7
358,51.488979,-78.741374,330,38
359,51.488785,-78.741395,333,38
360,51.488785,-78.741395,291,38
361,51.488785,-78.741395,342,38
362,51.488785,-78.741395,330,38
363,51.488785,-78.741395,314,38
364,51.488785,-78.741395,307,38
365,51.488979,-78.741374,333,38
366,44.841903,-106.830496,2613,9
367,51.488979,-78.741374,317,38
368,47.275885,-88.528778,118,7
369,38.744108,-109.499828,3003,-1
370,45.293637,-76.174607,3011,16
371,47.275885,-88.528778,162,7
372,47.275885,-88.528778,227,7
373,47.275885,-88.528778,182,7
374,47.275885,-88.528778,379,7
375,44.625999,-80.877152,2303,47
376,47.275885,-88.528778,369,7
377,45.293637,-76.174607,2399,16
378,47.275885,-88.528778,185,7
379,48.093722,-116.782492,28,46
380,48.093722,-116.782492,17,46
381,48.093727,-116.782464,45,46
382,45.293637,-76.174607,2775,16
383,47.275885,-88.528778,587,7
384,47.275885,-88.528778,190,7
385,48.093722,-116.782492,15,46
386,49.816347,-103.742759,1001,48
387,48.755721,-123.644492,2224,49
388,49.816347,-103.742759,618,48
389,49.816347,-103.742759,633,48
390,48.093722,-116.782492,84,46
391,48.093722,-116.782492,12,46
392,48.093722,-116.782492,95,46
393,48.093722,-116.782492,45,46
394,49.915896,-100.78204,187,-1
395,49.91593,-100.781718,7659,-1
396,44.515014,-106.785553,2880,2
397,44.515014,-106.785553,1828,2
398,44.515014,-106.785553,2701,2
399,44.515014,-106.785553,1742,2
400,44.515014,-106.785553,1272,2
401,52.887472,-118.077614,6646,50
402,45.239345,-81.498062,7512,51
403,45.245184,-81.522921,71357,51
404,45.24501,-81.529712,67276,51
405,51.242966,-115.494898,2347,52
406,44.791079,-107.394747,1089,9
407,51.486674,-78.752939,453,38
408,51.486674,-78.752939,207,38
409,51.486674,-78.752939,250,38
410,51.486674,-78.752939,227,38
411,51.484857,-78.713135,221,38
412,51.484857,-78.713135,299,38
413,51.478269,-78.679618,240,38
414,51.478269,-78.679618,236,38
415,51.478269,-78.679618,396,38
416,64.926083,-147.985303,709,4
417,47.416855,-88.295759,1412,7
418,47.416797,-88.295717,2198,7
419,47.416816,-88.29577,1959,7
420,47.416791,-88.295648,1136,7
421,44.728433,-78.296031,2086,53
422,44.728433,-78.296031,5240,53
423,47.468719,-88.057325,836,7
424,47.468819,-88.057273,1262,7
425,47.468772,-88.057325,1227,7
426,47.468633,-88.057453,1254,7
427,45.178769,-106.896328,1639,9
428,45.178769,-106.896328,3444,9
429,47.920522,-91.974409,740,27
430,47.920386,-91.9746,1173,27
431,47.920336,-91.974464,1494,27
432,47.893138,-91.9282,1651,27
433,62.55583,-114.167375,1734,8
434,65.052975,-146.055773,2395,54
435,65.053038,-146.055303,1404,54
436,65.053072,-146.054514,2259,54
437,64.873052,-147.038009,2817,4
438,64.873052,-147.038009,3245,4
439,65.045772,-147.409664,2146,4
440,65.045997,-147.409245,1378,4
441,65.04578,-147.410387,1465,4
442,65.045952,-147.410345,2236,4
443,65.045911,-147.408642,1705,4
444,61.103533,-149.683278,234,30
445,62.305148,-150.100944,2198,18
446,62.325011,-150.105203,4737,18
447,62.324958,-150.105148,1328,18
448,62.32498,-150.106381,2892,18
449,62.325177,-150.105431,1820,18
450,44.805171,-107.319184,1411,9
451,51.445652,-114.553587,251,55
452,51.445652,-114.553587,67,55
453,51.445652,-114.553587,84,55
454,51.445652,-114.553587,182,55
455,51.445652,-114.553587,90,55
456,51.445652,-114.553587,206,55
457,51.445652,-114.553587,66,55
458,51.445652,-114.553587,232,55
459,55.780893,-97.858357,120,56
460,55.780893,-97.858357,106,56
461,55.780893,-97.858357,397,56
462,55.780893,-97.858357,84,56
463,55.780893,-97.858357,76,56
464,55.780893,-97.858357,141,56
465,55.780893,-97.858357,68,56
466,55.780893,-97.858357,117,56
467,55.780893,-97.858357,117,56
468,55.780893,-97.858357,194,56
469,44.979133,-93.245429,1863,-1
470,37.860492,-122.291586,1590,-1
471,63.723381,-68.444,2354,21
472,63.723381,-68.444,1610,21
473,55.623326,-97.960538,249,56
474,55.623326,-97.960538,548,56
475,55.623326,-97.960538,312,56
476,55.623326,-97.960538,294,56
477,55.623326,-97.960538,338,56
478,55.623326,-97.960538,147,56
479,55.623326,-97.960538,215,56
480,55.623326,-97.960538,155,56
481,61.338044,-149.512028,108,30
482,61.338127,-149.512167,143,30
483,61.338227,-149.512187,95,30
484,61.338188,-149.512103,94,30
485,61.338127,-149.511978,133,30
486,61.338127,-149.511978,103,30
487,61.338127,-149.511989,101,30
488,61.338113,-149.511989,113,30
489,55.780893,-97.858357,201,56
490,55.780893,-97.858357,207,56
491,50.658201,-99.97182,2327,-1
492,55.780893,-97.858357,159,56
493,55.780893,-97.858357,154,56
494,55.780893,-97.858357,144,56
495,51.237658,-115.488923,2368,52
496,62.086955,-163.353295,131,40
497,62.599786,-115.194398,125,57
498,62.599786,-115.194398,100,57
499,62.599786,-115.194398,103,57
500,62.599786,-115.194398,96,57
501,62.599786,-115.194398,93,57
502,62.599786,-115.194398,105,57
503,62.599786,-115.194398,131,57
504,62.599786,-115.194398,90,57
505,62.599786,-115.194398,102,57
506,62.599786,-115.194398,104,57
507,62.599786,-115.194398,88,57
508,62.599786,-115.194398,89,57
509,62.599786,-115.194398,91,57
510,62.599786,-115.194398,105,57
511,62.599786,-115.194398,85,57
512,62.599786,-115.194398,88,57
513,62.599786,-115.194398,62,57
514,62.599786,-115.194398,77,57
515,62.599786,-115.194398,72,57
516,62.599786,-115.194398,76,57
517,62.599786,-115.194398,108,57
518,62.670341,-115.357645,66,57
519,62.670341,-115.357645,70,57
520,62.670341,-115.357645,57,57
521,62.670341,-115.357645,62,57
522,62.670341,-115.357645,74,57
523,62.670341,-115.357645,59,57
524,62.670341,-115.357645,59,57
525,62.670341,-115.357645,65,57
526,62.670341,-115.357645,64,57
527,62.670341,-115.357645,55,57
528,62.670341,-115.357645,66,57
529,62.670341,-115.357645,60,57
530,62.670341,-115.357645,57,57
531,62.670341,-115.357645,59,57
532,62.670341,-115.357645,62,57
533,62.670341,-115.357645,50,57
534,62.670341,-115.357645,43,57
535,62.670341,-115.357645,48,57
536,62.484844,-113.470392,69,8
537,62.484844,-113.470392,52,8
538,62.484844,-113.470392,44,8
539,62.484844,-113.470392,57,8
540,62.561013,-115.099748,85,57
541,62.528394,-114.956031,70,57
542,62.528394,-114.956031,88,57
543,51.270388,-114.2773,11661,58
544,50.158095,-95.905301,1658,59
545,50.157944,-95.904904,1427,59
546,52.906905,-118.041623,1742,50
547,44.427344,-76.846704,2047,15
548,44.427344,-76.846704,4491,15
549,51.488785,-78.741395,826,38
550,51.488785,-78.741395,583,38
551,51.488785,-78.741395,508,38
552,51.488785,-78.741395,452,38
553,51.488785,-78.741395,446,38
554,51.488785,-78.741395,436,38
555,51.488785,-78.741395,434,38
556,51.4775,-78.680167,441,38
557,51.4775,-78.680167,438,38
558,51.4775,-78.680167,419,38
559,51.4775,-78.680167,405,38
560,51.4775,-78.680167,397,38
561,66.555952,-150.810731,3761,-1
562,60.767968,-135.104176,602,31
563,47.128885,-109.206107,296,10
564,47.128885,-109.206107,295,10
565,47.623679,-103.379738,992,-1
566,60.695724,-135.063064,448,31
567,60.695892,-135.062828,420,31
568,60.721613,-135.173614,332,31
569,50.286347,-96.969081,315,1
570,50.284788,-96.970109,572,1
571,46.989679,-103.488121,868,-1
572,45.4631,-69.619898,325,-1
573,44.904401,-107.014957,422,9
574,46.818906,-84.399044,2695,-1
575,44.942499,-79.513612,362,60
576,47.051497,-71.429639,297,61
577,49.559794,-123.236861,237,22
578,44.904743,-107.01412,826,9
579,44.942538,-79.513678,400,60
580,49.559794,-123.236861,281,22
581,47.552997,-84.949679,851,62
582,47.551316,-84.950709,794,62
583,45.303131,-107.553663,875,20
584,45.303229,-107.554038,929,20
585,45.303274,-107.55392,1339,20
586,45.303312,-107.553749,1800,20
587,51.488905,-78.741502,371,38
588,51.488785,-78.741395,445,38
589,51.488785,-78.741395,415,38
590,51.488785,-78.741395,396,38
591,51.489012,-78.741502,452,38
592,51.489012,-78.741502,389,38
593,51.489012,-78.741502,395,38
594,51.489012,-78.741502,356,38
595,51.489012,-78.741502,484,38
596,45.257563,-81.672759,2253,51
597,51.380593,-78.491853,336,38
598,51.380593,-78.491853,340,38
599,51.380593,-78.491477,438,38
600,51.380593,-78.491477,344,38
601,51.380593,-78.491477,357,38
602,51.380593,-78.491477,546,38
603,40.040601,-82.961518,326,63
604,40.040486,-82.965123,406,63
605,50.145652,-95.806134,1219,59
606,50.145611,-95.805974,1311,59
607,47.468691,-88.056364,1713,7
608,47.468836,-88.056659,451,7
609,47.749517,-90.33725,319,-1
610,40.040766,-82.96463,182,63
611,40.040766,-82.96463,181,63
612,40.040766,-82.96463,189,63
613,40.040766,-82.96463,222,63
614,40.040766,-82.96463,167,63
615,40.040741,-82.964415,184,63
616,40.040766,-82.964726,175,63
617,40.040766,-82.964726,133,63
618,40.040766,-82.964726,177,63
619,40.041045,-82.965842,205,63
620,40.040486,-82.965177,231,63
621,40.040486,-82.965166,262,63
622,51.231061,-115.495877,36,52
623,45.425452,-75.700251,1276,16
624,60.964203,-117.328126,2156,-1
625,63.27733,-147.906381,1223,64
626,63.284247,-147.908578,492,64
627,63.27733,-147.906381,432,64
628,57.947152,-134.835387,23,-1
629,61.104573,-149.683173,3351,30
630,58.101072,-134.896164,67,-1
631,44.805742,-107.319345,1021,9
632,44.805742,-107.319345,899,9
633,44.805742,-107.319345,942,9
634,58.448024,-135.03142,43,65
635,47.01558,-71.836812,991,-1
636,47.074386,-88.274328,226,66
637,47.275885,-88.528778,4543,7
638,45.746743,-84.90524,435,67
639,47.075191,-88.273862,186,66
640,47.075191,-88.273862,387,66
641,47.075191,-88.273862,475,66
642,47.075191,-88.273862,327,66
643,47.075191,-88.273862,367,66
644,43.591084,-106.949007,1051,-1
645,63.852292,-149.042608,1405,12
646,43.591084,-106.949007,809,-1
647,44.61597,-88.948586,934,-1
648,47.55097,-84.951331,6516,62
649,63.052711,-145.974687,107,68
650,63.052702,-145.974673,91,68
651,63.052713,-145.974687,96,68
652,64.06798,-139.396212,211,69
653,64.067977,-139.396203,202,69
654,64.06798,-139.396178,130,69
655,45.423817,-75.698375,703,16
656,51.489246,-78.74323,358,38
657,51.489246,-78.74323,580,38
658,51.489246,-78.74323,368,38
659,51.489246,-78.74323,321,38
660,51.489246,-78.74323,308,38
661,51.489246,-78.74323,284,38
662,51.48974,-78.745032,302,38
663,51.489246,-78.74323,308,38
664,44.481672,-106.767325,1537,2
665,44.803252,-107.364867,1446,9
666,44.803252,-107.364867,1012,9
667,44.805742,-107.319345,932,9
668,44.82502,-107.32266,1035,9
669,49.938808,-92.744428,1730,-1
670,51.184476,-115.560262,218,52
671,45.303259,-107.554081,1299,20
672,52.951508,-105.032483,1614,-1
673,51.419366,-116.203948,1355,70
674,51.419366,-116.203948,5314,70
675,51.419115,-116.20383,1332,70
676,48.634581,-123.533642,2372,49
677,45.328758,-75.895851,262,16
678,39.181202,-84.455087,247,71
679,39.181202,-84.455087,249,71
680,39.181202,-84.455087,239,71
681,39.181202,-84.455087,220,71
682,39.181202,-84.455087,218,71
683,39.181202,-84.455087,211,71
684,39.181202,-84.455087,111,71
685,39.181202,-84.455087,117,71
686,39.181202,-84.455087,112,71
687,39.181202,-84.455087,108,71
688,39.181202,-84.455087,111,71
689,39.181202,-84.455087,114,71
690,39.181202,-84.455087,94,71
691,39.181202,-84.455087,101,71
692,39.181202,-84.455087,97,71
693,39.181202,-84.455087,89,71
694,39.181202,-84.455087,86,71
695,39.181202,-84.455087,89,71
696,39.181202,-84.455087,113,71
697,39.181202,-84.455087,96,71
698,39.181202,-84.455087,93,71
699,39.181202,-84.455087,81,71
700,39.181202,-84.455087,103,71
701,39.181202,-84.455087,100,71
702,39.181202,-84.455087,101,71
703,39.181202,-84.455087,101,71
704,39.181202,-84.455087,97,71
705,39.181202,-84.455087,96,71
706,39.181202,-84.455087,93,71
707,39.181202,-84.455087,100,71
708,39.181202,-84.455087,95,71
709,39.181202,-84.455087,83,71
710,39.181202,-84.455087,87,71
711,39.181202,-84.455087,87,71
712,39.181202,-84.455087,87,71
713,39.181202,-84.455087,82,71
714,39.181202,-84.455087,87,71
715,39.181202,-84.455087,75,71
716,39.181202,-84.455087,86,71
717,39.181202,-84.455087,82,71
718,39.181202,-84.455087,74,71
719,39.181202,-84.455087,84,71
720,39.181202,-84.455087,86,71
721,39.181202,-84.455087,81,71
722,39.181202,-84.455087,81,71
723,39.181202,-84.455087,71,71
724,39.181202,-84.455087,82,71
725,39.181202,-84.455087,88,71
726,39.181202,-84.455087,72,71
727,39.181202,-84.455087,82,71
728,39.181202,-84.455087,86,71
729,39.181202,-84.455087,80,71
